
Time: 2025-01-15 20:52:53.325,  Pid: 2546,  Process: main
Time: 2025-01-15 20:52:53.365,  Pid: 2546,  Counter: 1
Time: 2025-01-15 20:52:53.980,  Pid: 2552,  Process: proc2
Time: 2025-01-15 20:52:53.792,  Pid: 2551,  Process proc1
Time: 2025-01-15 20:52:53.249,  Pid: 2551,  Stop proc1
Time: 2025-01-15 20:52:54.071,  Pid: 2546,  Counter: 15
Time: 2025-01-15 20:52:55.321,  Pid: 2546,  Counter: 18
Time: 2025-01-15 20:52:55.832,  Pid: 2552,  Stop proc2
Time: 2025-01-15 20:52:56.330,  Pid: 2546,  Counter: 12
Time: 2025-01-15 20:52:56.543,  Pid: 2560,  Process proc1
Time: 2025-01-15 20:52:56.600,  Pid: 2560,  Stop proc1
Time: 2025-01-15 20:52:56.307,  Pid: 2561,  Process: proc2
Time: 2025-01-15 20:52:57.025,  Pid: 2546,  Counter: 49
Time: 2025-01-15 20:52:58.499,  Pid: 2546,  Counter: 52
Time: 2025-01-15 20:52:58.943,  Pid: 2561,  Stop proc2
Time: 2025-01-15 20:52:59.591,  Pid: 2546,  Counter: 29
Time: 2025-01-15 20:52:59.189,  Pid: 2688,  Process proc1
Time: 2025-01-15 20:52:59.925,  Pid: 2688,  Stop proc1
Time: 2025-01-15 20:52:59.317,  Pid: 2689,  Process: proc2
Time: 2025-01-15 20:53:00.299,  Pid: 2546,  Counter: 83
Time: 2025-01-15 20:53:01.939,  Pid: 2546,  Counter: 86
Time: 2025-01-15 20:53:01.509,  Pid: 2689,  Stop proc2
Time: 2025-01-15 20:53:02.635,  Pid: 2546,  Counter: 46
Time: 2025-01-15 20:53:02.327,  Pid: 2722,  Process proc1
Time: 2025-01-15 20:53:02.548,  Pid: 2723,  Process: proc2
Time: 2025-01-15 20:53:02.987,  Pid: 2722,  Stop proc1
Time: 2025-01-15 20:53:03.577,  Pid: 2546,  Counter: 117
Time: 2025-01-15 20:53:04.501,  Pid: 2546,  Counter: 120
Time: 2025-01-15 20:53:04.935,  Pid: 2723,  Stop proc2
Time: 2025-01-15 20:53:05.705,  Pid: 2546,  Counter: 63
Time: 2025-01-15 20:53:05.476,  Pid: 2727,  Process proc1
Time: 2025-01-15 20:53:05.524,  Pid: 2727,  Stop proc1
Time: 2025-01-15 20:53:05.550,  Pid: 2728,  Process: proc2
Time: 2025-01-15 20:53:06.303,  Pid: 2546,  Counter: 151
Time: 2025-01-15 20:53:07.922,  Pid: 2546,  Counter: 154
Time: 2025-01-15 20:53:07.282,  Pid: 2728,  Stop proc2
Time: 2025-01-15 20:53:08.992,  Pid: 2546,  Counter: 80
Time: 2025-01-15 20:53:08.826,  Pid: 2732,  Process proc1
Time: 2025-01-15 20:53:08.261,  Pid: 2732,  Stop proc1
Time: 2025-01-15 20:53:08.762,  Pid: 2733,  Process: proc2
Time: 2025-01-15 20:53:09.990,  Pid: 2546,  Counter: 5
Time: 2025-01-15 20:53:10.991,  Pid: 2546,  Counter: 8
Time: 2025-01-15 20:53:10.726,  Pid: 2733,  Stop proc2
Time: 2025-01-15 20:53:11.668,  Pid: 2546,  Counter: 7
Time: 2025-01-15 20:53:11.515,  Pid: 2737,  Process proc1
Time: 2025-01-15 20:53:11.664,  Pid: 2737,  Stop proc1
Time: 2025-01-15 20:53:11.221,  Pid: 2738,  Process: proc2
Time: 2025-01-15 20:53:12.365,  Pid: 2546,  Counter: 39
Time: 2025-01-15 20:53:13.314,  Pid: 2546,  Counter: 42
Time: 2025-01-15 20:53:13.156,  Pid: 2738,  Stop proc2
Time: 2025-01-15 20:53:14.983,  Pid: 2546,  Stop main
